chrom,start,end,coverage
chr1,155100000,155100500,30.9
chr1,155100500,155101000,28.8
chr1,155101000,155101500,30.8
chr1,155101500,155102000,33
chr1,155102000,155102500,31.1
chr1,155102500,155103000,31
chr1,155103000,155103500,28
chr1,155103500,155104000,32.3
chr1,155104000,155104500,31.2
chr1,155104500,155105000,32
chr1,155105000,155105500,31.4
chr1,155105500,155106000,29
chr1,155106000,155106500,31.8
chr1,155106500,155107000,28.2
chr1,155107000,155107500,30.5
chr1,155107500,155108000,28.4
chr1,155108000,155108500,28.3
chr1,155108500,155109000,31.7
chr1,155109000,155109500,32.2
chr1,155109500,155110000,32.1
chr1,155110000,155110500,27.7
chr1,155110500,155111000,29.8
chr1,155111000,155111500,31.4
chr1,155111500,155112000,29.2
chr1,155112000,155112500,28.7
chr1,155112500,155113000,29.2
chr1,155113000,155113500,32.5
chr1,155113500,155114000,32.2
chr1,155114000,155114500,29.5
chr1,155114500,155115000,29.6
chr1,155115000,155115500,31.9
chr1,155115500,155116000,28
chr1,155116000,155116500,27.9
chr1,155116500,155117000,28.9
chr1,155117000,155117500,29.3
chr1,155117500,155118000,30
chr1,155118000,155118500,32.8
chr1,155118500,155119000,29.8
chr1,155119000,155119500,31.5
chr1,155119500,155120000,28.4
chr1,155120000,155120500,29.6
chr1,155120500,155121000,32.2
chr1,155121000,155121500,31.9
chr1,155121500,155122000,28.8
chr1,155122000,155122500,30.2
chr1,155122500,155123000,32.1
chr1,155123000,155123500,31.2
chr1,155123500,155124000,27.7
chr1,155124000,155124500,30.5
chr1,155124500,155125000,27.6
chr1,155125000,155125500,31.1
chr1,155125500,155126000,29.4
chr1,155126000,155126500,31.2
chr1,155126500,155127000,28.5
chr1,155127000,155127500,29.3
chr1,155127500,155128000,29.4
chr1,155128000,155128500,29.5
chr1,155128500,155129000,32.7
chr1,155129000,155129500,29.6
chr1,155129500,155130000,27.1
chr1,155130000,155130500,28.5
chr1,155130500,155131000,27.8
chr1,155131000,155131500,31
chr1,155131500,155132000,27
chr1,155132000,155132500,28.7
chr1,155132500,155133000,28.7
chr1,155133000,155133500,29.5
chr1,155133500,155134000,28.3
chr1,155134000,155134500,31.8
chr1,155134500,155135000,29.9
chr1,155135000,155135500,30.2
chr1,155135500,155136000,32.1
chr1,155136000,155136500,30.7
chr1,155136500,155137000,31.2
chr1,155137000,155137500,27.1
